scenario,scenario_label,city,name_en,climate_zone,province,grid_region,elec_price_eff,carbon_uplift_cny_kwh,d4_lcoe,d4_pbt,d4_npv_positive,D1_score,D2_score,D3_score,D4_score,D5_score,fdsi,rank,suitability
cost_reduction,PV Cost −50% (2030),chongqing,Chongqing,,重庆,华中,0.522,0.0,0.1467,3.13,True,0.0,0.4404480925788872,0.027243589743589595,0.6699509450591494,0.655982905982906,0.3447781894373529,39,Low
cost_reduction,PV Cost −50% (2030),dalian,Dalian,,辽宁,东北,0.5,0.0,0.0997,2.2,True,0.5029614589206254,0.585311175402005,0.40409438122852753,0.8641266102557621,0.8589743589743588,0.6466671898310737,21,High
cost_reduction,PV Cost −50% (2030),fuzhou,Fuzhou,,福建,华东,0.618,0.0,0.1177,2.1,True,0.38179071218814503,0.45505348852856087,0.12358779431950165,0.8326346021801436,0.8272283272283272,0.5279205886337105,35,High
cost_reduction,PV Cost −50% (2030),guangzhou,Guangzhou,,广东,南方,0.68,0.0,0.1111,1.79,True,0.5969910776883411,0.7049124223463186,0.6394982050469855,0.8767631254419557,0.8696581196581196,0.7390043714823034,5,High
cost_reduction,PV Cost −50% (2030),guiyang,Guiyang,,贵州,南方,0.468,0.0,0.1364,3.24,True,0.13059873265806635,0.9252842629348046,0.23833128253859964,0.6830110544421025,0.6684981684981685,0.4815644780167384,37,Medium
cost_reduction,PV Cost −50% (2030),haikou,Haikou,,海南,南方,0.598,0.0,0.0974,1.79,True,0.7059027938409963,0.7837071923568593,0.3366856720515256,0.9078853426159674,0.9056776556776556,0.7195512861213218,11,High
cost_reduction,PV Cost −50% (2030),hangzhou,Hangzhou,,浙江,华东,0.538,0.0,0.1283,2.64,True,0.3929512200800065,0.5720899773486734,0.34594216758850893,0.7578027588280105,0.7484737484737484,0.5594378404190499,34,High
cost_reduction,PV Cost −50% (2030),harbin,Harbin,,黑龙江,东北,0.51,0.0,0.1105,2.39,True,0.31686128572140626,0.7723918455224383,0.6627412221924418,0.8217351648088873,0.815018315018315,0.664894569934662,17,High
cost_reduction,PV Cost −50% (2030),hefei,Hefei,,安徽,华东,0.561,0.0,0.1122,2.2,True,0.4430489822792396,0.6632187310771716,0.3289926536877757,0.8357304267028316,0.829059829059829,0.6121559410461683,30,High
cost_reduction,PV Cost −50% (2030),hohhot,Hohhot,,内蒙古,华北,0.496,0.0,0.0942,2.09,True,0.5232770662207202,0.7678037184058848,0.5399635933172517,0.8869592768837131,0.8827838827838828,0.7125867585903252,13,High
cost_reduction,PV Cost −50% (2030),jinan,Jinan,,山东,华北,0.547,0.0,0.1021,2.05,True,0.5113506599209605,0.5290031173607841,0.7186675113504382,0.8727722873745016,0.8693528693528693,0.7172306721688376,12,High
cost_reduction,PV Cost −50% (2030),kunming,Kunming,,云南,南方,0.45,0.0,0.099,2.43,True,0.6219377942304932,0.6387849021059006,0.7172243406999503,0.8441002551813426,0.8391330891330891,0.7410094942418508,4,High
cost_reduction,PV Cost −50% (2030),lanzhou,Lanzhou,,甘肃,西北,0.476,0.0,0.0909,2.1,True,0.6607172501109544,0.5627464172778041,0.546088565905639,0.8935160197176266,0.8894993894993894,0.7247092851724142,8,High
cost_reduction,PV Cost −50% (2030),lhasa,Lhasa,,西藏,西藏,0.368,0.0,0.0734,2.2,True,1.0,0.45892036152414273,0.6362179487179487,0.9238721804511278,0.923076923076923,0.8238435099231485,1,High
cost_reduction,PV Cost −50% (2030),nanchang,Nanchang,,江西,华中,0.6,0.0,0.1107,2.03,True,0.482812163760563,0.5495382269169526,0.35832561747195896,0.8551154123382058,0.8498168498168498,0.6238429077573973,28,High
cost_reduction,PV Cost −50% (2030),nanjing,Nanjing,,江苏,华东,0.558,0.0,0.1123,2.22,True,0.5269679212840439,0.5258431451703335,0.6535212754724951,0.8336235579862878,0.8272283272283272,0.6876183657027575,14,High
cost_reduction,PV Cost −50% (2030),nanning,Nanning,,广西,南方,0.618,0.0,0.1178,2.1,True,0.49256847607072063,0.6703918006683263,0.31045428149086685,0.8324074327117201,0.8253968253968254,0.6183529102596148,29,High
cost_reduction,PV Cost −50% (2030),ningbo,Ningbo,,浙江,华东,0.538,0.0,0.1152,2.36,True,0.40480416669029506,0.5730094866446882,0.2926042453481478,0.8138777486651658,0.807997557997558,0.5759312584998657,32,High
cost_reduction,PV Cost −50% (2030),qingdao,Qingdao,,山东,华北,0.547,0.0,0.0966,1.94,True,0.5690354089880337,0.3403036623382449,0.33858265718021807,0.8956049540024527,0.8931623931623931,0.6339380863090239,26,High
cost_reduction,PV Cost −50% (2030),shanghai,Shanghai,,上海,华东,0.617,0.0,0.1095,1.95,True,0.486947642082008,0.26010406153984167,0.3610144936364449,0.8653602429517684,0.8592796092796093,0.5970796361323741,31,High
